routeid_date,cluster,anomaly_label,anomaly_score,cluster_mean_diff,peak_ratio,comment_ko
CJB270012700_2024-01-12,0.0,1.0,-0.4781726890272724,0.41907738458533644,0.09615384615384616,정상 또는 경미한 편차
CJB270012700_2024-01-13,1.0,1.0,-0.5115437282042897,0.8494158505093289,0.11538461538461539,정상 또는 경미한 편차
CJB270012700_2024-01-14,4.0,1.0,-0.48672070872375633,0.9738116473184042,0.1,정상 또는 경미한 편차
CJB270012700_2024-01-15,0.0,1.0,-0.47617562914510203,0.4074267098999104,0.08571428571428572,정상 또는 경미한 편차
CJB270012700_2024-01-16,6.0,1.0,-0.5254711769583018,0.4189188983570144,0.1,정상 또는 경미한 편차
CJB270012700_2024-01-17,7.0,1.0,-0.5161704127151013,0.4399063076114051,0.09565217391304348,정상 또는 경미한 편차
CJB270012700_2024-01-18,6.0,1.0,-0.522212821258337,0.417982299094889,0.09009009009009009,정상 또는 경미한 편차
CJB270012700_2024-01-19,7.0,1.0,-0.5325538203799296,0.5009311121433346,0.08547008547008547,정상 또는 경미한 편차
CJB270012700_2024-01-20,1.0,-1.0,-0.5696104039179816,1.2001694341027258,0.11764705882352941,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012700_2024-01-21,4.0,1.0,-0.5038775665482113,0.6296876450548757,0.10909090909090909,정상 또는 경미한 편차
CJB270012700_2024-01-22,0.0,1.0,-0.48199325081998223,0.4257007288562545,0.10091743119266056,정상 또는 경미한 편차
CJB270012700_2024-01-23,0.0,1.0,-0.49751386645357276,1.5499839291932254,0.10377358490566038,정상 또는 경미한 편차
CJB270012700_2024-01-24,3.0,1.0,-0.5439281819513261,0.44141641500831547,0.08403361344537816,정상 또는 경미한 편차
CJB270012700_2024-01-25,6.0,1.0,-0.5031814823672317,0.3863654680670241,0.0990990990990991,정상 또는 경미한 편차
CJB270012700_2024-01-26,2.0,1.0,-0.5210692310701162,0.4205853294567028,0.10476190476190476,정상 또는 경미한 편차
CJB270012700_2024-01-27,4.0,1.0,-0.4984262529621171,0.6034991241436058,0.1111111111111111,정상 또는 경미한 편차
CJB270012700_2024-01-28,4.0,1.0,-0.5140439001102652,0.674853957017174,0.12,정상 또는 경미한 편차
CJB270012700_2024-01-29,0.0,1.0,-0.48444266014227827,0.6744531025852085,0.10377358490566038,정상 또는 경미한 편차
CJB270012700_2024-01-30,7.0,1.0,-0.5302236708371297,0.40360372757725926,0.08411214953271028,정상 또는 경미한 편차
CJB270012900_2024-01-01,7.0,1.0,-0.4981190052984172,0.36538951089218275,0.102803738317757,정상 또는 경미한 편차
CJB270012900_2024-01-02,0.0,1.0,-0.4844542533445913,0.8570221828364586,0.09345794392523364,정상 또는 경미한 편차
CJB270012900_2024-01-03,2.0,1.0,-0.5294310676686198,0.5269805567346757,0.09322033898305085,정상 또는 경미한 편차
CJB270012900_2024-01-04,0.0,1.0,-0.4873540374179791,1.1356378620274858,0.102803738317757,정상 또는 경미한 편차
CJB270012900_2024-01-05,7.0,-1.0,-0.5605535706241329,0.684579930612864,0.1,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012900_2024-01-06,4.0,-1.0,-0.5527496819779193,1.0150440308677633,0.125,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012900_2024-01-07,1.0,1.0,-0.5249061792171148,0.9304611582292535,0.10526315789473684,정상 또는 경미한 편차
CJB270012900_2024-01-08,0.0,1.0,-0.47981016032245777,0.4484098596553922,0.10476190476190476,정상 또는 경미한 편차
CJB270012900_2024-01-09,5.0,1.0,-0.5271218521381625,0.4296626294484243,0.09821428571428571,정상 또는 경미한 편차
CJB270012900_2024-01-10,3.0,1.0,-0.49076680534835515,0.39791520860592083,0.1,정상 또는 경미한 편차
CJB270012900_2024-01-11,3.0,1.0,-0.5396342563390367,0.40198548716461163,0.10679611650485436,정상 또는 경미한 편차
CJB270012900_2024-01-12,0.0,1.0,-0.47344162597374007,0.4282905204415062,0.09166666666666666,정상 또는 경미한 편차
